,fire_location_latitude,fire_location_longitude,fire_spread_rate,temperature,relative_humidity,wind_speed,fire_origin_DND,fire_origin_Indian Reservation,fire_origin_Metis Settlement,fire_origin_National Park,fire_origin_Private Land,fire_origin_Provincial Land,fire_origin_Provincial Park,general_cause_desc_Agriculture Industry,general_cause_desc_Forest Industry,general_cause_desc_Government,general_cause_desc_Incendiary,general_cause_desc_Lightning,general_cause_desc_Oil & Gas Industry,general_cause_desc_Other Industry,general_cause_desc_Power Line Industry,general_cause_desc_Prescribed Fire,general_cause_desc_Railroad,general_cause_desc_Recreation,general_cause_desc_Resident,general_cause_desc_Restart,general_cause_desc_Under Investigation,general_cause_desc_Undetermined,activity_class_All Terrain Vehicles,activity_class_Ammunition,activity_class_Arson,activity_class_Brush,activity_class_Children,activity_class_Cooking,activity_class_Cooking and Warming,activity_class_Debris Disposal,activity_class_Flaring Gas,activity_class_Grass,activity_class_Heavy Equipment,activity_class_Lighting Fires,activity_class_OHV Operation,activity_class_Operations,activity_class_Piles,activity_class_Power Lines,activity_class_Power Saw,activity_class_Prescribed Fire,activity_class_Rail Transportation,activity_class_Refuse,activity_class_Refuse Disposal,activity_class_Restart,activity_class_Slash,activity_class_Structure Fire,activity_class_Traditional Burning,activity_class_Transportation,activity_class_Unclassified,activity_class_Vehicle Trans.,activity_class_Welders,activity_class_Windrows,true_cause_Abandoned Fire,true_cause_Animals,true_cause_Arson Known,true_cause_Arson Suspected,true_cause_Burning Substance,true_cause_Friction Spark,true_cause_High Hazard,true_cause_Hot Exhaust,true_cause_Incendiary Device,true_cause_Insufficient Buffer,true_cause_Insufficient Resources,true_cause_Line Impact,true_cause_Mechanical Failure,true_cause_Permit Related,true_cause_Unattended Fire,true_cause_Unclassified,true_cause_Unpredictable Event,true_cause_Unsafe Fire,true_cause_Vehicle Fire,true_cause_Winter Burning,fire_type_   Surface,fire_type_Crown,fire_type_Ground,fire_type_Surface,fire_position_on_slope_Bottom,fire_position_on_slope_Flat,fire_position_on_slope_Lower 1/3,fire_position_on_slope_Middle 1/3,fire_position_on_slope_Upper 1/3,weather_conditions_over_fire_CB Dry,weather_conditions_over_fire_CB Wet,weather_conditions_over_fire_Clear,weather_conditions_over_fire_Cloudy,weather_conditions_over_fire_Rainshowers,wind_direction_CLM,wind_direction_E,wind_direction_N,wind_direction_NE,wind_direction_NW,wind_direction_S,wind_direction_SE,wind_direction_SW,wind_direction_W,fuel_type_C1,fuel_type_C2,fuel_type_C3,fuel_type_C4,fuel_type_C7,fuel_type_D1,fuel_type_M1,fuel_type_M2,fuel_type_O1a,fuel_type_O1b,fuel_type_S1,fuel_type_S2
10,54.759917,-114.9033,0.0,-1.0,59.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11,57.604233,-117.169333,0.0,15.0,35.0,10.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
12,53.032222,-115.025833,0.0,4.0,45.0,6.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13,51.154717,-114.776742,0.0,0.0,80.0,5.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14,54.759917,-114.9033,0.0,3.0,60.0,20.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
15,49.410191,-114.318843,0.0,4.0,65.0,30.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
16,55.3097,-115.526017,0.0,-1.0,82.0,4.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
17,56.555767,-119.5002,0.0,24.0,17.0,6.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
18,55.683105,-119.02743,0.0,13.0,53.0,6.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
19,57.8195,-117.8834,0.0,15.0,40.0,10.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20,54.43525,-118.25646,0.0,-4.0,70.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
21,53.610783,-115.854167,0.0,0.3,34.0,11.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
22,49.587753,-114.378655,0.0,-5.0,90.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
23,56.524967,-115.287867,0.0,12.0,35.0,8.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
24,53.322342,-116.396767,0.0,12.0,26.0,3.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
25,53.3572,-116.432467,0.0,15.0,25.0,5.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
26,55.881133,-115.653183,6.0,19.0,23.0,19.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
27,53.345133,-115.35245,0.0,0.0,72.0,6.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
28,53.611717,-117.677955,0.0,14.0,22.0,2.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
